Candidate ID,Father Name as per affidavit,Age,Self Profession,Spouse Profession,Criminal Cases Count,Education Category,Education Details,Self Occupation,Self Source of Income,Spouse Source of Income,Movable Assets (Self),Movable Assets (Spouse),Movable Assets (Total),Immovable Assets (Self),Immovable Assets (Spouse),Immovable Assets (Total),Total Assets,Liabilities (Self),Liabilities (Spouse),Total Liabilities,Criminal Case Details
465,Anagani Ranga Rao,54,"Business, Agriculture and Salary Received as a MLA(Member of Legislative Assembly",NA,3,Graduate,"B.Sc - Anwar UI- UIam Autonomous College, Hyderabad, 1990 - 1993;             		 Details of PAN and status of Income Tax return","Business, Agriculture and Salary Received as a MLA(Member of Legislative Assembly","Business, Agriculture and Salary Received as a MLA(Member of Legislative Assembly",NA,"8,06,04,107",,"8,06,04,107","12,44,90,502",,"12,44,90,502","20,50,94,609","62,84,770",,"62,84,770","2 charges related to Punishment for wrongful restraint (IPC Section-341) 2 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 2 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 1 charges related to Omission to assist public servant when bound by law to give assistance (IPC Section-187) 1 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 1 charges related to Punishment of abetment if the act abetted is committed in consequence, and where no express provision is made for its punishment (IPC Section-109) 1 charges related to Dishonestly making false claim in Court (IPC Section-209)"
138,Jaya Kumar Gummidi,53,Social Service,Self Employed,3,Graduate,"BSC MR College (Andhra University year 1993);             		 Details of PAN and status of Income Tax return",Social Service,Pension (Ex. Member of Legislative Council 2015 - 2021),NA,"78,56,348.20","8,29,991","86,86,339.20","39,98,432",,"39,98,432","1,26,84,771","18,56,890",,"18,56,890",1 charges related to Punishment for wrongful restraint (IPC Section-341) 1 charges related to Danger or obstruction in public way or line of navigation (IPC Section-283) 1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 1 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 1 charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269) 1 charges related to Malignant act likely to spread infection of disease dangerous to life (IPC Section-270)
466,Late Danam,58,Social Service/Politician,Not applicable,5,Graduate Professional,"Bachelor of Engineering (Mechanical) from Osmania University Hyderabad in the year 1990;             		 Details of PAN and status of Income Tax return",Social Service/Politician,Pension income(Ex MLA)/Agricultural Lands,Not applicable,"10,30,36,804",,"10,30,36,804","13,97,25,000",,"13,97,25,000","24,27,61,804","12,26,28,829",,"12,26,28,829",5 charges related to Punishment for wrongful restraint (IPC Section-341) 4 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 4 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 3 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 3 charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269) 3 charges related to Malignant act likely to spread infection of disease dangerous to life (IPC Section-270) 2 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 1 charges related to Punishment for public nuisance in cases not otherwise provided for (IPC Section-290)
361,Rajagopal reddy somireddy,70,EX Agriculture minister for the state of Andhra pradesh,NIL,16,12th Pass,"Intermediate K.A.C Junior College Nellore 1974 ;             		 Details of PAN and status of Income Tax return",EX Agriculture minister for the state of Andhra pradesh,Pension income (ex agriculture minister for the state of andhra pradesh),NIL,"62,89,038.86","1,22,04,127.90","1,84,93,166.76","9,18,20,000",,"9,18,20,000","11,03,13,167","30,80,000",,"30,80,000",2 charges related to Forgery for purpose of cheating (IPC Section-468)2 charges related to Punishment for theft (IPC Section-379)2 charges related to Punishment for criminal intimidation (IPC Section-506)1 charges related to Husband or relative of husband of a woman subjecting her to cruelty (IPC Section-498A) 10 charges related to Punishment for wrongful restraint (IPC Section-341) 9 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 9 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 5 charges related to Disobedience to quarantine rule (IPC Section-271) 5 charges related to Malignant act likely to spread infection of disease dangerous to life (IPC Section-270) 5 charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269) 3 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 2 cha
283,Late Kanna Rangaiah,71,Social Service(Politician) and Business,House Wife,4,Graduate,"B.Com , T.J.P.S. College, 1976;             		 Details of PAN and status of Income Tax return",Social Service(Politician) and Business,Pension from Government and Business,Business,"4,39,33,656.90","1,38,90,145.38","5,78,39,385.88","24,97,20,250","11,40,84,000","36,38,04,250","42,16,28,052","3,60,68,404","51,39,797","4,12,08,201",2 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 1 charges related to Obscene acts and songs (IPC Section-294) 1 charges related to Punishment for wrongful restraint (IPC Section-341) 1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 1 charges related to Obstructing public servant in discharge of public functions (IPC Section-186) 1 charges related to Punishment for wrongful Confinement (IPC Section-342) 1 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 1 charges related to Punishment for assault or criminal force otherwise than on grave provocation (IPC Section-352) 1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149)
444,Late K. Elumalai,74,Agriculture,House Wife,,Graduate,"Bachelor of Arts, S.V Arts College, Trirupati Affiliated to Sri Venkateshwara University, Tirupati 1975;             		 Details of PAN and status of Income Tax return",Agriculture,Agriculture,Nil,"25,21,198","10,47,719","35,68,917","60,50,000",,"60,50,000","96,18,917",,,,
35,B. Ravi Kumar,36,Social Worker,Not Applicable,,Post Graduate,"Masters in Mass Communications from ST Francis College For Women Hyderabad-2013;             		 Details of PAN and status of Income Tax return",Social Worker,Social Worker,Not Applicable,"94,71,642",,"94,71,642",,,"9,64,062","1,04,35,704","22,59,600",,"22,59,600",
381,Jagannadharao,49,"Sarpanch Kistappapeta, Business and Cultivation",Business and cultivation,7,Graduate Professional,"(Bachelor of Engineering (CIVIL) From Dc, Bangalore University, Course Completed in 1998.;             		 Details of PAN and status of Income Tax return","Sarpanch Kistappapeta, Business and Cultivation",Income from Business and Cultivation,Income from Business and cultivation,"82,52,150","2,19,69,509","3,27,03,659","6,03,72,743","2,28,69,000","8,32,41,743","11,50,59,258","95,39,647","43,29,452","1,38,69,099",3 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 2 charges related to Punishment for wrongful restraint (IPC Section-341) 1 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34)
122,Bojjala Gopala Krishan Reddy,46,Property Consultant,Designer of Saries and Dress Materials,15,Post Graduate,"Master of Business Administration at Bharathi Institute of Higher Education and Research Deemed University Selaiyur, Chennai, in the year 2005;             		 Details of PAN and status of Income Tax return",Property Consultant,Property Consultant,Designer of Saries and Dress Materials,"2,02,37,237.90","3,05,40,204.35","5,07,77,442.25","89,46,670","8,57,20,324","9,46,66,994","14,54,44,436","2,90,79,810","5,76,85,631","8,67,65,441",3 charges related to Punishment for criminal intimidation (IPC Section-506)1 charges related to Kidnapping or abducting with intent secretly and wrongfully to confine person (IPC Section-365)1 charges related to Punishment for undue influence or personation at an election (IPC Section-171F)1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324) 12 charges related to Punishment for wrongful restraint (IPC Section-341) 8 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 7 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 5 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 5 charges related to Malignant act likely to spread infection of disease dangerous to life (IPC Section-270) 5 charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269) 4 charges related to Every member 
24,Late Buuda Vengala Reddy,59,Agriculturist,Housewife And Agriculturist,4,Graduate,"BA from Osmania College, Kurnool;             		 Details of PAN and status of Income Tax return",Agriculturist,Agriculture,Agriculture And House Property,"46,11,644","1,00,74,854","1,46,86,498","58,99,200","1,61,17,000","2,20,16,200","3,67,02,698","88,49,999",,"88,49,999",2 charges related to Punishment for criminal intimidation (IPC Section-506)1 charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324) 1 charges related to Intentional insult with intent to provoke breach of the peace (IPC Section-504) 1 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 1 charges related to Punishment for wrongful restraint (IPC Section-341) 1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34)
