S.No,MP Code,Member Name,Party,State,Position No.,Period,Position Held
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,5,July - Sept. 2020,"Member, Committee on Information Technology"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,6,June 2020,Re-elected to Rajya Sabha (third term)
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,7,Nov. 2019 - Feb. 2020,"Member, Select Committee of Rajya Sabha on the Surrogacy (Regulation) Bill, 2019"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,8,Oct. 2019 - June 2024 and Oct. 2024 onwards,"Member, Consultative Committee for the Ministry of Home Affairs"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,9,"Sept. 2019 - April 2020, Sept. 2020 - June 2024 and Sept. 2024 onwards","Member, Committee on Science and Technology, Environment, Forests and Climate Change"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,10,July 2018 - Feb. 2019,"Member, Select Committee on the Ancient Monuments and Archaeological Sites and Remains (Amendment) Bill, 2018"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,11,March 2016 - May 2016,"Member, Select Committee of Rajya Sabha on the Enemy Property (Amendment and Validation) Bill, 2016"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,12,Sept. 2015 - May 2019,"Member, Committee on Science and Technology, Environment and Forests"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,13,March 2015,"Member, Select Committee of Rajya Sabha on the Mines and Minerals (Development and Regulation) Amendment Bill, 2015"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,14,Dec. 2014 - Aug. 2015,"Member, Committee on Railways"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,15,Dec. 2014 - Feb. 2015,"Member, Select Committee of Rajya Sabha on the Payment and Settlement Systems (Amendment) Bill, 2014"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,16,April 2014,Re-elected to Rajya Sabha (second term)
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,17,Aug. 2009 - Aug. 2012,"Member, Consultative Committee for the Ministry of Commerce and Industry"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,18,Aug. 2009 - April 2014,"Permanent Special Invitee, Consultative Committee for the Ministry of External Affairs"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,19,Aug. 2009 - April 2014 and Sept. 2014 - Aug. 2016,"Member, Committee on Personnel, Public Grievances, Law and Justice"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,20,,"Member, Consultative Committee for the Ministry of Home Affairs"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,21,May 2008 - May 2009,"Member, Committee on Commerce"
6,2081,Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,22,April 2008,Elected to Rajya Sabha
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,1,Feb. 2026 onwards,"Member, India - Bahrain Parliamentary Friendship Group"
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,2,-,"Member, General Purposes Committee"
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,3,Nov. 2025 onwards,"Member, Business Advisory Committee"
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,4,,"Member, Consultative Committee for the Ministry of Road Transport and Highways"
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,5,Oct. 2024 onwards,"Member, House Committee"
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,6,Sept. 2024 onwards,"Member, Committee on Chemicals and Fertilizers"
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,7,Oct. 2022 - June 2024,"Member, Committee on Welfare of Other Backward Classes"
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,8,Sept. 2022 - June 2024,"Member, Consultative Committee for the Ministry of Law and Justice"
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,9,Sept. 2021 - June 2024,"Member, Committee on Petroleum and Natural Gas"
